字段	是否必选	类型	说明
log_id	是	uint64	唯一的log id，用于问题定位
pdf_file_size	否	string	传入PDF文件的总页数，当 pdf_file 参数有效时返回该字段
words_result_num	是	uint32	识别结果数，表示words_result的元素个数
words_result	是	object{}	识别结果
+ ServiceType	是	string	发票消费类型。不同消费类型输出：餐饮、电器设备、通讯、服务、日用品食品、医疗、交通、其他
+ InvoiceType	是	string	发票种类。不同类型发票输出：普通发票、专用发票、电子普通发票、电子专用发票、通行费电子普票、区块链发票、通用机打电子发票
+ InvoiceTypeOrg	是	string	发票名称
+ InvoiceCode	是	string	发票代码
+ InvoiceNum	是	string	发票号码
+ InvoiceCodeConfirm	是	string	发票代码的辅助校验码，一般业务情景可忽略
+ InvoiceNumConfirm	是	string	发票号码的辅助校验码，一般业务情景可忽略
+ MachineNum	是	string	机打号码。仅增值税卷票含有此参数
+ MachineCode	是	string	机器编号。仅增值税卷票含有此参数
+ CheckCode	是	string	校验码。增值税专票无此参数
+ InvoiceDate	是	string	开票日期
+ PurchaserName	是	string	购方名称
+ PurchaserRegisterNum	是	string	购方纳税人识别号
+ PurchaserAddress	是	string	购方地址及电话
+ PurchaserBank	是	string	购方开户行及账号
+ Password	是	string	密码区
+ Province	是	string	省
+ City	是	string	市
+ SheetNum	是	string	联次信息。专票第一联到第三联分别输出：第一联：记账联、第二联：抵扣联、第三联：发票联；普通发票第一联到第二联分别输出：第一联：记账联、第二联：发票联
+ Agent	是	string	是否代开
+ CommodityName	是	array[]	货物名称
++ row	是	uint32	行号
++ word	是	string	内容
+ CommodityType	是	array[]	规格型号
++ row	是	uint32	行号
++ word	是	string	内容
+ CommodityUnit	是	array[]	单位
++ row	是	uint32	行号
++ word	是	string	内容
+ CommodityNum	是	array[]	数量
++ row	是	uint32	行号
++ word	是	string	内容
+ CommodityPrice	是	array[]	单价
++ row	是	uint32	行号
++ word	是	string	内容
+ CommodityAmount	是	array[]	金额
++ row	是	uint32	行号
++ word	是	string	内容
+ CommodityTaxRate	是	array[]	税率
++ row	是	uint32	行号
++ word	是	string	内容
+ CommodityTax	是	array[]	税额
++ row	是	uint32	行号
++ word	是	string	内容
+ CommodityPlateNum	是	array[]	车牌号。仅通行费增值税电子普通发票含有此参数
++ row	是	uint32	行号
++ word	是	string	内容
+ CommodityVehicleType	是	array[]	类型。仅通行费增值税电子普通发票含有此参数
++ row	是	uint32	行号
++ word	是	string	内容
+ CommodityStartDate 	是	array[]	通行日期起。仅通行费增值税电子普通发票含有此参数
++ row	是	uint33	行号
++ word	是	string	内容
+ CommodityEndDate 	是	array[]	通行日期止。仅通行费增值税电子普通发票含有此参数
++ row	是	uint33	行号
++ word	是	string	内容
+ OnlinePay	是	String	电子支付标识。仅区块链发票含有此参数
+ SellerName	是	string	销售方名称
+ SellerRegisterNum	是	string	销售方纳税人识别号
+ SellerAddress	是	string	销售方地址及电话
+ SellerBank	是	string	销售方开户行及账号
+ TotalAmount	是	uint32	合计金额
+ TotalTax	是	uint32	合计税额
+ AmountInWords	是	string	价税合计(大写)
+ AmountInFiguers	是	uint32	价税合计(小写)
+ Payee	是	string	收款人
+ Checker	是	string	复核
+ NoteDrawer	是	string	开票人
+ Remarks	是	string	备注
